typesalt,PEO,salt,saltpc,thickness,temp,conduct,iontransfer,Vmax,Vmin,decomptemp
LiFSI,0.5,0.1,0.166666667,,25,,,,,
,0.5,0.1,0.166666667,,40,,,,,
,0.5,0.1,0.166666667,,65,,,,,
,0.5,0.1,0.166666667,,80,,,,,
,0.5,0.1,0.166666667,,100,,,,,
,0.5,0.2,0.285714286,,25,,,,,
,0.5,0.2,0.285714286,,40,,,,,
,0.5,0.2,0.285714286,,65,,,,,
,0.5,0.2,0.285714286,,80,,,,,
,0.5,0.2,0.285714286,,100,,,,,
,0.5,0.3,0.375,,25,,,,,
,0.5,0.3,0.375,,40,,,,,
,0.5,0.3,0.375,,65,,,,,
,0.5,0.3,0.375,,80,,,,,
,0.5,0.3,0.375,,100,,,,,
,0.5,0.4,0.444444444,,25,,,,,
,0.5,0.4,0.444444444,,40,,,,,
,0.5,0.4,0.444444444,,65,,,,,
,0.5,0.4,0.444444444,,80,,,,,
,0.5,0.4,0.444444444,,100,,,,,
,0.5,0.5,0.5,,25,,,,,
,0.5,0.5,0.5,,40,,,,,
,0.5,0.5,0.5,,65,,,,,
,0.5,0.5,0.5,,80,,,,,
,0.5,0.5,0.5,,100,,,,,
,,,,,,10^-4,0.5,5,,200
